participant,participant_index,has_gsr,trial,type,sound,sound_group,file_A,file_B,choice,A_angle,B_angle,A_kind,B_kind,pair_class,trial_type_matches_inferred,chosen_side,chosen_angle,chosen_is_ambiguous,A_delta,B_delta,phys_choice,match,A_z,B_z,gsr_diff_z,ambig_minus_discrete_z,gsr_choice,gsr_match_z,participant_gsr_mean,participant_gsr_std
20260509_163714_6,5,True,5,DIST_DIST,zombie,scary,audio/zombie_270.wav,audio/zombie_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,1.26829268292704,1.26829268292704,B,0.0,-0.27461936932050784,-0.27461936932050784,0.0,,B,0.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,6,AMBIG_DIST,death_whistle,scary,audio/death_whistle_180.wav,audio/death_whistle_90.wav,A,180,90,ambiguous,discrete,AMBIG_DIST,True,A,180,1,2.26829268292704,2.26829268292704,B,0.0,1.727418384097789,1.727418384097789,0.0,0.0,B,0.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,7,AMBIG_AMBIG,white_noise,white_noise,audio/white_noise_0.wav,audio/white_noise_225.wav,A,0,225,ambiguous,ambiguous,AMBIG_AMBIG,True,A,0,1,1.2195121951217516,2.2439024390241684,B,0.0,-0.37227974753685616,1.6785881949891597,-2.0508679425260157,-2.0508679425260157,B,0.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,8,AMBIG_DIST,scream,scary,audio/scream_180.wav,audio/scream_90.wav,B,180,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,0.9756097560975832,0.9756097560975832,B,1.0,-0.8605816386140455,-0.8605816386140455,0.0,0.0,B,1.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,9,AMBIG_DIST,scream,scary,audio/scream_270.wav,audio/scream_45.wav,B,270,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,1.0731707317072505,1.0731707317072505,B,1.0,-0.6652608821831697,-0.6652608821831697,0.0,0.0,B,1.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,10,DIST_DIST,bear,scary,audio/bear_270.wav,audio/bear_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,1.0243902439024168,1.0243902439024168,B,1.0,-0.7629212603986075,-0.7629212603986075,0.0,,B,1.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,11,AMBIG_DIST,scream,scary,audio/scream_270.wav,audio/scream_225.wav,B,270,225,discrete,ambiguous,AMBIG_DIST,True,B,225,1,0.9512195121951663,0.9512195121951663,B,1.0,-0.9094118277217643,-0.9094118277217643,0.0,0.0,B,1.0,1.4054626083450898,0.49949108017198535
20260509_163714_6,5,True,14,DIST_DIST,scream,scary,audio/scream_270.wav,audio/scream_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,1.1951219512193347,1.1951219512193347,B,1.0,-0.4211099366445751,-0.4211099366445751,0.0,,B,1.0,1.4054626083450898,0.49949108017198535
20260509_165613_7,6,True,1,PRIMING,mixed,other,audio/scream_270.wav,audio/death_whistle_270.wav,B,270,270,discrete,discrete,DIST_DIST,,B,270,0,0.7539308176101258,1.7073170731705432,B,1.0,-1.4393349843747476,0.5818824851769014,-2.021217469551649,,B,1.0,1.4328494455767375,0.47168910318784235
20260509_165613_7,6,True,2,PRIMING,mixed,other,audio/white_noise_90.wav,audio/bear_90.wav,A,90,90,discrete,discrete,DIST_DIST,,A,90,0,0.7804878048782484,0.7804878048782484,B,0.0,-1.383033095930344,-1.383033095930344,0.0,,B,0.0,1.4328494455767375,0.47168910318784235
